Job started: Wed May 20 08:33:10 PM CDT 2026  Node: gh021.hsn.cm.delta.internal.ncsa.edu
GPUs: 0
Step 8400: grad_norm=0.1327, loss=0.0018, param_norm=1803.1250
Step 8450: grad_norm=0.1915, loss=0.0022, param_norm=1803.1250
Step 8500: grad_norm=0.1849, loss=0.0019, param_norm=1803.1250
Step 8550: grad_norm=0.2111, loss=0.0019, param_norm=1803.1256
Step 8600: grad_norm=0.1636, loss=0.0018, param_norm=1803.1252
Step 8650: grad_norm=0.1868, loss=0.0021, param_norm=1803.1252
Step 8700: grad_norm=0.2058, loss=0.0021, param_norm=1803.1256
Step 8750: grad_norm=0.1341, loss=0.0014, param_norm=1803.1259
Step 8800: grad_norm=0.1128, loss=0.0015, param_norm=1803.1262
Step 8850: grad_norm=0.2119, loss=0.0023, param_norm=1803.1262
Step 8900: grad_norm=0.1490, loss=0.0016, param_norm=1803.1262
Step 8950: grad_norm=0.1422, loss=0.0016, param_norm=1803.1265
Step 9000: grad_norm=0.1895, loss=0.0022, param_norm=1803.1265
Step 9050: grad_norm=0.1324, loss=0.0013, param_norm=1803.1265
Step 9100: grad_norm=0.1265, loss=0.0014, param_norm=1803.1265
Step 9150: grad_norm=0.1011, loss=0.0010, param_norm=1803.1268
Step 9200: grad_norm=0.1182, loss=0.0012, param_norm=1803.1268
Step 9250: grad_norm=0.1320, loss=0.0012, param_norm=1803.1268
Step 9300: grad_norm=0.1512, loss=0.0017, param_norm=1803.1272
Step 9350: grad_norm=0.1179, loss=0.0011, param_norm=1803.1274
Step 9400: grad_norm=0.1769, loss=0.0015, param_norm=1803.1274
Step 9450: grad_norm=0.1659, loss=0.0014, param_norm=1803.1276
Step 9500: grad_norm=0.1113, loss=0.0010, param_norm=1803.1276
Step 9550: grad_norm=0.1897, loss=0.0018, param_norm=1803.1276
Step 9600: grad_norm=0.1516, loss=0.0011, param_norm=1803.1276
Step 9650: grad_norm=0.1638, loss=0.0019, param_norm=1803.1276
Step 9700: grad_norm=0.0851, loss=0.0008, param_norm=1803.1278
Step 9750: grad_norm=0.1513, loss=0.0013, param_norm=1803.1279
Step 9800: grad_norm=0.1457, loss=0.0015, param_norm=1803.1281
Step 9850: grad_norm=0.1512, loss=0.0013, param_norm=1803.1281
Step 9900: grad_norm=0.1084, loss=0.0009, param_norm=1803.1283
Step 9950: grad_norm=0.2063, loss=0.0017, param_norm=1803.1283
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmulticam_keypose_h100[0m at: [34mhttps://wandb.ai/instructable/openpi/runs/pocof543[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260520_203907-pocof543/logs[0m
Done: Thu May 21 01:18:14 AM CDT 2026
